GENDER,ACTIVE,DISTRESS,DISLAT,DURATION,SMILAU,SOOTH,ATTRACT,COND,BEHAVE,BABYSEX,CUTENESS,CELL,TOTALNEG,TOTALPOS,REVTOTNE,TOTAL
1.0,4.53,4.5,4.31,4.45,4.67,4.64,7.0,1.0,1.0,1.0,1.0,1.0,13.34,13.759999999999998,7.66,21.419999999999998
1.0,3.71,3.95,3.75,4.27,4.67,4.3,8.0,1.0,1.0,1.0,1.0,1.0,11.41,13.239999999999998,9.59,22.83
1.0,4.24,3.4,3.12,4.82,4.73,4.2,7.0,1.0,1.0,1.0,1.0,1.0,10.760000000000002,13.75,10.239999999999998,23.99
1.0,4.35,3.85,3.5,5.09,5.27,5.55,8.0,1.0,1.0,1.0,1.0,1.0,11.7,15.91,9.3,25.21
1.0,5.24,3.7,3.0,4.18,6.0,4.6,9.0,1.0,1.0,1.0,1.0,1.0,11.940000000000001,14.78,9.059999999999999,23.839999999999996
1.0,4.35,4.45,4.56,3.45,4.53,5.6,5.0,1.0,1.0,1.0,1.0,1.0,13.36,13.579999999999998,7.640000000000001,21.22
1.0,3.65,3.3,3.56,3.18,3.87,4.0,5.0,1.0,1.0,1.0,1.0,1.0,10.51,11.05,10.49,21.54
1.0,4.12,3.95,3.25,4.0,4.07,3.55,7.0,1.0,1.0,1.0,1.0,1.0,11.32,11.620000000000001,9.68,21.3
1.0,5.76,4.7,3.56,4.09,5.4,3.7,6.0,1.0,1.0,1.0,1.0,1.0,14.020000000000001,13.190000000000001,6.979999999999999,20.17
1.0,4.82,4.3,3.63,3.45,4.2,4.6,9.0,1.0,1.0,1.0,1.0,1.0,12.75,12.25,8.25,20.5
1.0,3.76,3.7,4.06,4.55,4.07,4.64,5.0,1.0,1.0,1.0,1.0,1.0,11.52,13.260000000000002,9.48,22.740000000000002
1.0,4.41,4.35,4.38,4.27,4.53,4.8,5.0,1.0,1.0,1.0,1.0,1.0,13.14,13.6,7.859999999999999,21.46
1.0,4.47,3.7,3.44,5.36,5.4,5.1,8.0,1.0,1.0,1.0,1.0,1.0,11.61,15.86,9.39,25.25
1.0,4.71,4.55,4.88,4.27,3.47,3.9,4.0,1.0,1.0,1.0,1.0,1.0,14.14,11.64,6.859999999999999,18.5
2.0,5.24,3.75,3.44,5.09,4.53,4.3,3.0,1.0,1.0,1.0,1.0,2.0,12.43,13.92,8.57,22.490000000000002
2.0,4.06,3.9,4.06,4.73,3.4,3.8,7.0,1.0,1.0,1.0,1.0,2.0,12.02,11.93,8.98,20.91
2.0,4.41,4.2,4.5,5.27,5.67,5.8,7.0,1.0,1.0,1.0,1.0,2.0,13.11,16.74,7.890000000000001,24.63
2.0,4.82,4.8,3.19,4.64,5.13,4.36,5.0,1.0,1.0,1.0,1.0,2.0,12.81,14.129999999999999,8.19,22.32
2.0,4.18,4.4,3.75,2.73,4.0,4.91,8.0,1.0,1.0,1.0,1.0,2.0,12.33,11.64,8.67,20.310000000000002
2.0,3.41,3.2,3.56,5.55,4.4,4.6,7.0,1.0,1.0,1.0,1.0,2.0,10.17,14.55,10.83,25.380000000000003
2.0,3.47,3.4,3.69,3.45,3.53,4.4,5.0,1.0,1.0,1.0,1.0,2.0,10.56,11.379999999999999,10.44,21.82
2.0,4.31,3.9,4.31,4.0,4.0,4.2,5.0,1.0,1.0,1.0,1.0,2.0,12.52,12.2,8.48,20.68
2.0,3.65,3.65,3.5,3.82,3.53,4.1,6.0,1.0,1.0,1.0,1.0,2.0,10.8,11.45,10.2,21.65
2.0,4.82,3.75,3.5,6.0,5.27,5.9,8.0,1.0,1.0,1.0,1.0,2.0,12.07,17.17,8.93,26.1
2.0,4.82,3.8,4.38,5.27,5.73,5.36,7.0,1.0,1.0,1.0,1.0,2.0,13.0,16.36,8.0,24.36
1.0,3.65,3.75,3.75,3.36,3.73,4.91,5.0,2.0,2.0,1.0,1.0,3.0,11.15,12.0,9.85,21.85
1.0,5.76,6.1,6.25,2.82,2.0,3.91,6.0,2.0,2.0,1.0,1.0,3.0,18.11,8.73,2.8900000000000006,11.620000000000001
